viaje,buque,contenedor,tipo,vacioimportacion
18138,VERA D,APHU 714310 2,40' HC,VACIO
18138,VERA D,BMOU 657763 0,40' HC,VACIO
18138,VERA D,CLHU 859070 7,40' HC,VACIO
18138,VERA D,CMAU 458231 0,40' HC,VACIO
18138,VERA D,CRSU 936391 3,40' HC,VACIO
18138,VERA D,CXDU 178721 0,40' HC,VACIO
18138,VERA D,CXDU 178845 4,40' HC,VACIO
18138,VERA D,CXDU 191838 9,40' HC,VACIO
18138,VERA D,CXDU 191876 9,40' HC,VACIO
18138,VERA D,CXDU 200899 5,40' HC,VACIO
18138,VERA D,CXDU 200942 0,40' HC,VACIO
18138,VERA D,CXDU 206946 0,40' HC,VACIO
18138,VERA D,CXDU 207253 0,40' HC,VACIO
18138,VERA D,CXDU 207295 2,40' HC,VACIO
18138,VERA D,CXDU 207367 1,40' HC,VACIO
18138,VERA D,CXDU 224108 1,40' HC,VACIO
18138,VERA D,CXDU 224880 4,40' HC,VACIO
18138,VERA D,CXDU 227484 5,40' HC,VACIO
18138,VERA D,CXDU 239179 6,40' HC,VACIO
18138,VERA D,DBOU 453350 3,40' HC,VACIO
18138,VERA D,GESU 691168 9,40' HC,VACIO
18138,VERA D,GESU 692124 4,40' HC,VACIO
18138,VERA D,LEAU 490048 2,40' HC,VACIO
18138,VERA D,LEAU 490158 1,40' HC,VACIO
18138,VERA D,LEAU 490181 1,40' HC,VACIO
18138,VERA D,LEAU 490272 0,40' HC,VACIO
18138,VERA D,LEAU 490363 0,40' HC,VACIO
18138,VERA D,LEAU 490415 3,40' HC,VACIO
18138,VERA D,LEAU 490475 0,40' HC,VACIO
18138,VERA D,LEAU 490484 7,40' HC,VACIO
18138,VERA D,LEAU 490497 6,40' HC,VACIO
18138,VERA D,RFCU 508025 7,40' HC,VACIO
18138,VERA D,RFCU 508147 0,40' HC,VACIO
18138,VERA D,RFCU 508202 8,40' HC,VACIO
18138,VERA D,RFCU 508574 7,40' HC,VACIO
18138,VERA D,RFCU 508597 9,40' HC,VACIO
18138,VERA D,RFCU 509675 7,40' HC,VACIO
18138,VERA D,RFCU 509849 3,40' HC,VACIO
18138,VERA D,RFCU 509858 0,40' HC,VACIO
18138,VERA D,RFSU 500046 4,40' HC,VACIO
18138,VERA D,RFSU 500118 3,40' HC,VACIO
18138,VERA D,RFSU 500605 6,40' HC,VACIO
18138,VERA D,RFSU 500716 0,40' HC,VACIO
18138,VERA D,RFSU 500820 7,40' HC,VACIO
18138,VERA D,RFSU 500931 1,40' HC,VACIO
18138,VERA D,RFSU 500993 9,40' HC,VACIO
18138,VERA D,RFSU 501108 9,40' HC,VACIO
18138,VERA D,RFSU 501179 3,40' HC,VACIO
18138,VERA D,RFSU 501192 0,40' HC,VACIO
18138,VERA D,SEGU 416207 7,40' HC,VACIO
18138,VERA D,SEGU 496206 4,40' HC,VACIO
18138,VERA D,SEGU 497186 8,40' HC,VACIO
18138,VERA D,SEGU 503972 4,40' HC,VACIO
18138,VERA D,SEGU 516426 4,40' HC,VACIO
18138,VERA D,SEGU 516564 0,40' HC,VACIO
18138,VERA D,SEGU 518643 2,40' HC,VACIO
18138,VERA D,SEGU 518652 0,40' HC,VACIO
18138,VERA D,SEGU 523038 7,40' HC,VACIO
18138,VERA D,SEGU 524848 9,40' HC,VACIO
18138,VERA D,SEGU 524959 3,40' HC,VACIO
18138,VERA D,SEGU 549163 1,40' HC,VACIO
18138,VERA D,TCIU 995483 1,40' HC,VACIO
18138,VERA D,TCIU 996190 7,40' HC,VACIO
18138,VERA D,TCNU 124084 5,40' HC,VACIO
18138,VERA D,TCNU 422769 9,40' HC,VACIO
18138,VERA D,TCNU 441159 8,40' HC,VACIO
18138,VERA D,TCNU 698839 9,40' HC,VACIO
18138,VERA D,TITU 991541 8,40' HC,VACIO
18138,VERA D,UNIU 504620 6,40' HC,VACIO
18138,VERA D,XINU 808511 3,40' HC,VACIO
